iter	RMSE
0	14.0681064
1	13.23142364
2	12.40642024
3	11.64342047
4	11.00310204
5	10.44103988
6	9.908600026
7	9.419276864
8	9.020914286
9	8.611775934
10	8.229230966
11	7.921403046
12	7.669630048
13	7.443989467
14	7.202365765
15	6.98405616
16	6.814712656
17	6.652315903
18	6.498769093
19	6.36710355
20	6.251025113
21	6.157961819
22	6.065334188
23	5.985778348
24	5.904629088
25	5.842472593
26	5.779583406
27	5.733778266
28	5.69629932
29	5.652104117
30	5.601811767
31	5.555882024
32	5.516863295
33	5.483660056
34	5.453285884
35	5.42753325
36	5.406618692
37	5.390823281
38	5.368488973
39	5.344778665
40	5.308711319
41	5.288751103
42	5.268842424
43	5.252550105
44	5.237109272
45	5.209134444
46	5.19107558
47	5.173586331
48	5.156465117
49	5.137601613
50	5.118839335
51	5.097540791
52	5.082466494
53	5.06695067
54	5.050894983
55	5.040038741
56	5.019330291
57	5.003069446
58	4.980187348
59	4.967899631
60	4.962489102
61	4.955064719
62	4.950422151
63	4.943944448
64	4.936713992
65	4.923181325
66	4.912785138
67	4.897558934
68	4.890029161
69	4.877684474
70	4.869111614
71	4.862559653
72	4.857059991
73	4.848369473
74	4.833556041
75	4.824718614
76	4.819619508
77	4.809085911
78	4.798006911
79	4.791572252
80	4.784268812
81	4.779182955
82	4.768071313
83	4.757274205
84	4.747919155
85	4.735685194
86	4.726485294
87	4.713718797
88	4.707652095
89	4.69903649
90	4.692141869
91	4.686565321
92	4.680824656
93	4.672753426
94	4.668465441
95	4.66037101
96	4.650052447
97	4.640570196
98	4.624914499
99	4.617724587
