iter	Passed	Remaining
0	1	180
1	3	163
2	4	152
3	6	145
4	7	141
5	9	142
6	11	151
7	13	154
8	15	158
9	17	159
10	19	159
11	21	155
12	22	152
13	24	148
14	25	145
15	27	142
16	28	139
17	30	136
18	31	134
19	32	131
20	34	128
21	35	126
22	37	124
23	38	122
24	40	120
25	41	118
26	43	116
27	44	114
28	45	112
29	47	110
30	48	108
31	50	106
32	51	104
33	53	103
34	54	101
35	56	99
36	57	98
37	58	96
38	60	94
39	61	92
40	63	90
41	64	89
42	66	88
43	67	86
44	69	84
45	70	83
46	72	81
47	73	79
48	75	78
49	76	76
50	78	75
51	79	73
52	81	71
53	82	70
54	83	68
55	85	67
56	87	65
57	88	64
58	89	62
59	91	60
60	92	59
61	94	57
62	95	56
63	97	54
64	98	53
65	100	51
66	101	50
67	103	48
68	104	46
69	106	45
70	107	43
71	108	42
72	110	40
73	111	39
74	113	37
75	114	36
76	116	34
77	117	33
78	118	31
79	120	30
80	121	28
81	123	27
82	124	25
83	126	24
84	127	22
85	128	20
86	130	19
87	132	18
88	133	16
89	135	15
90	137	13
91	139	12
92	140	10
93	142	9
94	143	7
95	145	6
96	146	4
97	148	3
98	149	1
99	151	0
